Z,orbital,n,l,occupancy,Z_eff,E_base_eV,Delta_Shannon_eV,Delta_Fisher_eV,E_total_eV,r_avg_bohr,r_avg_angstrom,is_valence
1,1s,1,0,1,1.000000,-13.605698,0.000000,0.000000,-13.605698,1.500000,0.793766,True
2,1s,1,0,2,1.700000,-39.320467,0.000000,0.000000,-39.320467,0.882353,0.466921,True
3,1s,1,0,2,2.700000,-99.185539,0.000000,0.000000,-99.185539,0.555556,0.293987,False
3,2s,2,0,1,1.300000,-5.748407,0.000000,0.000000,-5.748407,4.615385,2.442356,True
4,1s,1,0,2,3.700000,-186.262007,0.000000,0.000000,-186.262007,0.405405,0.214531,False
4,2s,2,0,2,1.950000,-12.933917,0.000000,0.000000,-12.933917,3.076923,1.628238,True
5,1s,1,0,2,4.700000,-300.549870,0.000000,0.000000,-300.549870,0.319149,0.168886,False
5,2s,2,0,2,2.600000,-22.993630,0.000000,0.000000,-22.993630,2.307692,1.221178,False
5,2p,2,1,1,2.600000,-23.136814,0.006134,0.000000,-23.130679,1.929065,1.020817,True
6,1s,1,0,2,5.700000,-442.049130,0.000000,0.000000,-442.049130,0.263158,0.139257,False
6,2s,2,0,2,3.250000,-35.927546,0.000000,0.000000,-35.927546,1.846154,0.976943,False
6,2p,2,1,2,3.250000,-36.151271,0.023400,0.000000,-36.127871,1.543252,0.816654,True
7,1s,1,0,2,6.700000,-610.759786,0.000000,0.000000,-610.759786,0.223881,0.118473,False
7,2s,2,0,2,3.900000,-51.735667,0.000000,0.000000,-51.735667,1.538462,0.814119,False
7,2p,2,1,3,3.900000,-52.057830,0.069871,0.000000,-51.987959,1.286043,0.680545,True
8,1s,1,0,2,7.700000,-806.681838,0.000000,0.000000,-806.681838,0.194805,0.103086,False
8,2s,2,0,2,4.550000,-70.417991,0.000000,0.000000,-70.417991,1.318681,0.697816,False
8,2p,2,1,4,4.550000,-70.856491,0.176189,0.000000,-70.680303,1.102323,0.583324,True
9,1s,1,0,2,8.700000,-1029.815287,0.000000,0.000000,-1029.815287,0.172414,0.091237,False
9,2s,2,0,2,5.200000,-91.974519,0.000000,0.000000,-91.974519,1.153846,0.610589,False
9,2p,2,1,5,5.200000,-92.547254,0.392581,0.000000,-92.154673,0.964532,0.510408,True
10,1s,1,0,2,9.700000,-1280.160131,0.000000,0.000000,-1280.160131,0.154639,0.081832,False
10,2s,2,0,2,5.850000,-116.405251,0.000000,0.000000,-116.405251,1.025641,0.542746,False
10,2p,2,1,6,5.850000,-117.130118,0.795875,0.000000,-116.334243,0.857362,0.453696,True
11,1s,1,0,2,10.700000,-1557.716372,0.000000,0.000000,-1557.716372,0.140187,0.074184,False
11,2s,2,0,2,6.850000,-159.603342,0.000000,0.000000,-159.603342,0.875912,0.463513,False
11,2p,2,1,6,6.850000,-160.597209,2.051413,0.000000,-158.545796,0.732200,0.387463,False
11,3s,3,0,1,2.200000,-7.316842,0.000000,0.000000,-7.316842,6.136364,3.247224,True
12,1s,1,0,2,11.700000,-1862.484008,0.000000,0.000000,-1862.484008,0.128205,0.067843,False
12,2s,2,0,2,7.850000,-209.604282,0.000000,0.000000,-209.604282,0.764331,0.404467,False
12,2p,2,1,6,7.850000,-210.909510,4.646517,0.000000,-206.262993,0.638926,0.338105,False
12,3s,3,0,2,2.850000,-12.279143,0.000000,0.000000,-12.279143,4.736842,2.506629,True
13,1s,1,0,2,12.700000,-2194.463041,0.000000,0.000000,-2194.463041,0.118110,0.062501,False
13,2s,2,0,2,8.850000,-266.408072,0.000000,0.000000,-266.408072,0.677966,0.358764,False
13,2p,2,1,6,8.850000,-268.067023,9.540459,0.000000,-258.526565,0.566731,0.299901,False
13,3s,3,0,2,3.500000,-18.518867,0.000000,0.000000,-18.518867,3.857143,2.041112,False
13,3p,3,1,1,3.500000,-19.450491,0.005017,0.000000,-19.445473,3.661262,1.937456,True
14,1s,1,0,2,13.700000,-2553.653470,0.000000,0.000000,-2553.653470,0.109489,0.057939,False
14,2s,2,0,2,9.850000,-330.014710,0.000000,0.000000,-330.014710,0.609137,0.322341,False
14,2p,2,1,6,9.850000,-332.069747,18.135394,0.000000,-313.934352,0.509195,0.269454,False
14,3s,3,0,2,4.150000,-26.036015,0.000000,0.000000,-26.036015,3.253012,1.721420,False
14,3p,3,1,2,4.150000,-27.345802,0.013943,0.000000,-27.331859,3.087811,1.633999,True
15,1s,1,0,2,14.700000,-2940.055295,0.000000,0.000000,-2940.055295,0.102041,0.053998,False
15,2s,2,0,2,10.850000,-400.424198,0.000000,0.000000,-400.424198,0.552995,0.292633,False
15,2p,2,1,6,10.850000,-402.917682,32.395751,0.000000,-370.521931,0.462264,0.244620,False
15,3s,3,0,2,4.800000,-34.830587,0.000000,0.000000,-34.830587,2.812500,1.488311,False
15,3p,3,1,3,4.800000,-36.582801,0.033383,0.000000,-36.549418,2.669670,1.412729,True
16,1s,1,0,2,15.700000,-3353.668516,0.000000,0.000000,-3353.668516,0.095541,0.050558,False
16,2s,2,0,2,11.850000,-477.636534,0.000000,0.000000,-477.636534,0.506329,0.267938,False
16,2p,2,1,6,11.850000,-480.610828,54.981898,0.000000,-425.628930,0.423255,0.223977,False
16,3s,3,0,2,5.450000,-44.902583,0.000000,0.000000,-44.902583,2.477064,1.310806,False
16,3p,3,1,4,5.450000,-47.161486,0.071524,0.000000,-47.089962,2.351269,1.244238,True
17,1s,1,0,2,16.700000,-3794.493134,0.000000,0.000000,-3794.493134,0.089820,0.047531,False
17,2s,2,0,2,12.850000,-561.651720,0.000000,0.000000,-561.651720,0.466926,0.247087,False
17,2p,2,1,6,12.850000,-565.149185,89.398121,0.000000,-475.751064,0.390317,0.206547,False
17,3s,3,0,2,6.100000,-56.252003,0.000000,0.000000,-56.252003,2.213115,1.171130,False
17,3p,3,1,5,6.100000,-59.081858,0.140622,0.000000,-58.941236,2.100724,1.111655,True
18,1s,1,0,2,17.700000,-4262.529147,0.000000,0.000000,-4262.529147,0.084746,0.044846,False
18,2s,2,0,2,13.850000,-652.469754,0.000000,0.000000,-652.469754,0.433213,0.229246,False
18,2p,2,1,6,13.850000,-656.532753,140.154893,0.000000,-516.377860,0.362135,0.191634,False
18,3s,3,0,2,6.750000,-68.878846,0.000000,0.000000,-68.878846,2.000000,1.058354,False
18,3p,3,1,6,6.750000,-72.343917,0.258164,0.000000,-72.085753,1.898432,1.004607,True
19,1s,1,0,2,18.700000,-4757.776557,0.000000,0.000000,-4757.776557,0.080214,0.042447,False
19,2s,2,0,2,14.850000,-750.090638,0.000000,0.000000,-750.090638,0.404040,0.213809,False
19,2p,2,1,6,14.850000,-754.761532,212.945440,0.000000,-541.816092,0.337749,0.178729,False
19,3s,3,0,2,7.750000,-90.799138,0.000000,0.000000,-90.799138,1.741935,0.921793,False
19,3p,3,1,6,7.750000,-95.366947,0.591403,0.000000,-94.775544,1.653473,0.874980,False
19,4s,4,0,1,1.000000,-0.850356,0.000000,0.000000,-0.850356,24.000000,12.700253,True
20,1s,1,0,2,19.700000,-5280.235362,0.000000,0.000000,-5280.235362,0.076142,0.040293,False
20,2s,2,0,2,15.850000,-854.514371,0.000000,0.000000,-854.514371,0.378549,0.200319,False
20,2p,2,1,6,15.850000,-859.835522,314.836606,0.000000,-544.998916,0.316440,0.167453,False
20,3s,3,0,2,8.750000,-115.742918,0.000000,0.000000,-115.742918,1.542857,0.816445,False
20,3p,3,1,6,8.750000,-121.565567,1.224960,0.000000,-120.340608,1.464505,0.774983,False
20,4s,4,0,2,1.650000,-2.315095,0.000000,0.000000,-2.315095,14.545455,7.697123,True
21,1s,1,0,2,20.700000,-5829.905564,0.000000,0.000000,-5829.905564,0.072464,0.038346,False
21,2s,2,0,2,16.850000,-965.740952,0.000000,0.000000,-965.740952,0.356083,0.188431,False
21,2p,2,1,6,16.850000,-971.754724,454.474012,0.000000,-517.280712,0.297660,0.157515,False
21,3s,3,0,2,9.400000,-133.577720,0.000000,0.000000,-133.577720,1.436170,0.759989,False
21,3p,3,1,6,9.400000,-140.297581,1.882958,0.000000,-138.414623,1.363236,0.721393,False
21,4s,4,0,2,1.800000,-2.755154,0.000000,0.000000,-2.755154,13.333333,7.055696,False
21,3d,3,2,1,9.400000,-140.619065,0.377455,0.000000,-140.241610,1.146462,0.606682,True
22,1s,1,0,2,21.700000,-6406.787162,0.000000,0.000000,-6406.787162,0.069124,0.036579,False
22,2s,2,0,2,17.850000,-1083.770383,0.000000,0.000000,-1083.770383,0.336134,0.177875,False
22,2p,2,1,6,17.850000,-1090.519136,642.301514,0.000000,-448.217622,0.280984,0.148690,False
22,3s,3,0,2,10.050000,-152.689947,0.000000,0.000000,-152.689947,1.343284,0.710835,False
22,3p,3,1,6,10.050000,-160.371281,2.812353,0.000000,-157.558928,1.275066,0.674736,False
22,4s,4,0,2,1.950000,-3.233479,0.000000,0.000000,-3.233479,12.307692,6.512950,False
22,3d,3,2,2,10.050000,-160.738763,0.563759,0.000000,-160.175003,1.072313,0.567444,True
23,1s,1,0,2,22.700000,-7010.880156,0.000000,0.000000,-7010.880156,0.066079,0.034968,False
23,2s,2,0,2,18.850000,-1208.602663,0.000000,0.000000,-1208.602663,0.318302,0.168438,False
23,2p,2,1,6,18.850000,-1216.128760,890.794958,0.000000,-325.333802,0.266078,0.140802,False
23,3s,3,0,2,10.700000,-173.079597,0.000000,0.000000,-173.079597,1.261682,0.667653,False
23,3p,3,1,6,10.700000,-181.786669,4.096153,0.000000,-177.690516,1.197609,0.633747,False
23,4s,4,0,2,2.100000,-3.750071,0.000000,0.000000,-3.750071,11.428571,6.047740,False
23,3d,3,2,3,10.700000,-182.203222,0.821108,0.000000,-181.382114,1.007172,0.532973,True
24,1s,1,0,2,23.700000,-7642.184547,0.000000,0.000000,-7642.184547,0.063291,0.033492,False
24,2s,2,0,2,19.850000,-1340.237792,0.000000,0.000000,-1340.237792,0.302267,0.159953,False
24,2p,2,1,6,19.850000,-1348.583595,1214.710231,0.000000,-133.873363,0.252673,0.133709,False
24,3s,3,0,2,11.350000,-194.746671,0.000000,0.000000,-194.746671,1.189427,0.629418,False
24,3p,3,1,6,11.350000,-204.543743,5.835105,0.000000,-198.708638,1.129024,0.597454,False
24,4s,4,0,2,2.250000,-4.304928,0.000000,0.000000,-4.304928,10.666667,5.644557,False
24,3d,3,2,4,11.350000,-205.012443,1.169695,0.000000,-203.842748,0.949493,0.502450,True
25,1s,1,0,2,24.700000,-8300.700333,0.000000,0.000000,-8300.700333,0.060729,0.032136,False
25,2s,2,0,2,20.850000,-1478.675769,0.000000,0.000000,-1478.675769,0.287770,0.152281,False
25,2p,2,1,6,20.850000,-1487.883640,1631.345611,0.000000,143.461970,0.240555,0.127296,False
25,3s,3,0,2,12.000000,-217.691169,0.000000,0.000000,-217.691169,1.125000,0.595324,False
25,3p,3,1,6,12.000000,-228.642504,8.150063,0.000000,-220.492441,1.067868,0.565091,False
25,4s,4,0,2,2.400000,-4.898051,0.000000,0.000000,-4.898051,10.000000,5.291772,False
